Question	Option A	Option B	Option C	Option D
"What is the recommended approach for mitigating Token Impersonation/Theft, as stated in the provided text?,Restricting user accounts to the least privileges necessary.,Disabling the use of the ""runas"" command for administrator tasks.,Configuring the ""Create a token object"" Group Policy setting for all users.,Disabling the DuplicateToken and DuplicateTokenEx API calls.,Restricting user accounts to the least privileges necessary.,The text emphasizes the importance of limiting user accounts to the least privileges they require as a primary mitigation strategy for Token Impersonation/Theft.,"				
What MITRE ATT&CK technique ID and name are associated with creating a process using an existing token to escalate privileges?,T1078.002,T1078.003,T1078.004,T1078.005,A,This technique involves creating a process with the existing token of another user to escalate privileges.				
What API function is mentioned as a common method for creating a process with an existing token?,CreateProcessAsUser,CreateProcessWithLogonW,CreateProcessWithTokenW,CreateProcessWithTokenExW,C,The text explicitly mentions CreateProcessWithTokenW as a way to create a process with an existing token.				
Which of the following malware families is NOT mentioned as utilizing Access Token Manipulation techniques?,Lazarus Group,Turla,TrickBot,Revil,C,The text describes how Lazarus Group, Turla, and Revil employ Access Token Manipulation techniques. TrickBot is not mentioned.				
"Which of the following is a potential mitigation for Access Token Manipulation based on the text provided?,Limit the ""Create a token object"" user right to only the local system account.,Restrict the ""Replace a process level token"" user right to only the local and network service accounts.,Encourage administrators to use runas to elevate privileges when necessary.,All of the above.,D,All the listed options are mitigation strategies presented in the text."				
In the context of the text, what is a potential limitation of using API calls to detect Access Token Manipulation?,API calls associated with token manipulation can be used for legitimate purposes by users and administrators.,API calls can only detect the final process creation and not the initial token theft or duplication.,API call monitoring is only effective if detailed command-line logging is enabled by default in Windows.,API calls provide a complete and comprehensive view of all token manipulation activities on a system.,A,The text states that API call monitoring can lead to false positives due to legitimate use by users and administrators.				
What is the primary function of the AdvancedRun.exe tool mentioned in relation to the WhisperGate third stage?,To steal user tokens from interactive sessions.,To create new processes using existing tokens.,To elevate privileges by impersonating the Windows TrustedInstaller group.,To execute commands under the context of the current user without any privileges.,C,The text specifies that AdvancedRun.exe is used by WhisperGate to execute commands in the context of the Windows TrustedInstaller group.				
What is the intended audience of the provided text?,Cybersecurity professionals responsible for incident response.,Malware analysts focusing on specific malware families.,Threat intelligence analysts involved in threat hunting and analysis.,Software developers responsible for secure coding practices.,C,The text focuses on analyzing adversary tactics and techniques, suggesting it's geared towards threat intelligence analysts.				
Which of the following is NOT a direct example of Access Token Manipulation as described in the text?,KiloAlfa obtaining user tokens from interactive sessions.,Turla RPC backdoors impersonating or stealing process tokens.,Empire using Invoke-RunAs to make tokens.,PoshC2 using Invoke-RunAs to make tokens.,B,While Turla RPC backdoors may involve token theft, the text doesn't explicitly state that they create a process with a stolen token, unlike the other examples.				
Which of the following is NOT a recommended practice for mitigating Access Token Manipulation, according to the text provided?,Limit permissions to create token objects.,Restrict permissions to replace process level tokens.,Employ endpoint detection and response (EDR) solutions.,Encourage administrators to use runas for privilege elevation.,C,While EDR solutions are valuable for overall security, the text specifically focuses on mitigating access token manipulation through user rights and privilege management practices.				
What is the primary purpose of the provided text regarding Access Token Manipulation?,To analyze the capabilities of specific malware families.,To illustrate the importance of user rights management.,To explain the implementation of Access Token Manipulation techniques by attackers.,To provide a comprehensive guide for detecting and mitigating Access Token Manipulation.,D,The text comprehensively discusses Access Token Manipulation, including its techniques, mitigation strategies, and detection approaches.				
"Which MITRE ATT&CK technique ID and name are associated with the ability to create new tokens and impersonate users, according to the provided text?,T1134, Access Token Manipulation,T1078, Valid Accounts,T1059, Command and Scripting Interpreter,T1098, Account Manipulation,A,This question directly references the text and identifies the technique ID and name provided for ""Access Token Manipulation""."				
"What is a distinct characteristic that differentiates ""Access Token Manipulation"" from ""Token Impersonation/Theft""?,Access Token Manipulation involves duplicating an existing token, while Token Impersonation/Theft creates a new token.,Access Token Manipulation involves creating a new token, while Token Impersonation/Theft steals or duplicates an existing token.,Access Token Manipulation focuses on stealing existing tokens, while Token Impersonation/Theft creates new tokens.,Both techniques aim to create new tokens, but Access Token Manipulation targets specific user accounts.,B,This question tests the understanding of the distinction explained in the text. Access Token Manipulation is about creating new tokens, while Token Impersonation/Theft focuses on stealing or duplicating existing tokens."				
Which of the following is NOT mentioned in the text as an example of a tool or framework used for Access Token Manipulation?,Cobalt Strike,Metasploit,Incognito V2,Mafalda,B,This question asks for an example NOT mentioned in the text. Metasploit is not listed as an example of a tool for Access Token Manipulation. 				
"According to the text, what is a crucial prerequisite for an adversary to fully exploit the ""Access Token Manipulation"" technique?,Compromised user credentials,Administrator-level access on the local system,Elevated privileges on the target network,Physical access to the target system,B,The text explicitly states that an adversary needs ""administrator-level access on the local system"" to fully exploit the technique. "				
"Which of the following is NOT a mitigation strategy outlined in the text for Access Token Manipulation?,Restricting the ""Create a token object"" user right to the local system account,Using the ""runas"" command for administrative tasks,Disabling the ""Replace a process level token"" user right for all users,Enforcing strong passwords and multi-factor authentication,D,This question asks about mitigation strategies mentioned in the text. Enforcing strong passwords and multi-factor authentication is a general security measure, but not specifically mentioned as a mitigation for Access Token Manipulation."				
"What is a recommended approach for detecting Access Token Manipulation based on the text?,Monitoring for specific API calls like LogonUser and SetThreadToken.,Auditing command-line activity for suspicious usage of tools like ""runas"".,Analyzing network traffic for unusual patterns related to authentication requests.,Correlating user activity, process execution, and network behavior for anomalies.,E,The text highlights the importance of ""correlating activity with other suspicious behavior"" to reduce false positives and detect Access Token Manipulation effectively."				
According to the text, which of the following is NOT a crucial factor in the detection of Access Token Manipulation?,Analyzing network traffic patterns,Correlating suspicious behavior with user activity,Monitoring for specific API calls associated with token manipulation,Auditing command-line activity for potential manipulation attempts,A,This question emphasizes the text's focus on user activity, process execution, and correlation for effective detection. Analyzing network traffic patterns, while relevant for security monitoring, is not specifically mentioned as a crucial factor in the context of Access Token Manipulation detection. 				
"Which of the following is a recommended best practice for mitigating the risks associated with Access Token Manipulation, according to the text?,Using a privilege escalation framework like ""runas"" for administrative tasks,Enabling detailed command-line logging for enhanced security,Restricting user rights related to token creation and manipulation,Applying strong password policies and multi-factor authentication,C,The text explicitly suggests restricting user rights related to token creation and manipulation as a mitigation strategy. "				
"Assuming an organization is monitoring for Access Token Manipulation, what would be a suspicious indicator based on the text?,A user executing a command with administrator privileges using the ""runas"" tool,A network service accessing a system resource without authentication,A process attempting to create a new user token using the ""LogonUser"" function,An account being locked due to multiple failed login attempts,C,This question highlights the importance of understanding the tools and functions associated with Access Token Manipulation. A process attempting to create a new user token using the ""LogonUser"" function is a suspicious indicator, according to the text."				
"The text focuses on ""Access Token Manipulation"" within which MITRE ATT&CK platform?,Enterprise,ICS,Mobile,All platforms,A,The text's examples and mitigations relate primarily to enterprise systems. "				
"What is the main goal of Parent PID Spoofing, according to the provided text, in the context of MITRE ATT&CK Enterprise?,Bypass application whitelisting,Evade detection by process monitoring tools,Modify the PPID of a process to elevate privileges,All of the above,B,Parent PID Spoofing aims to evade detection by process monitoring tools, as mentioned in the text, by modifying the parent process identifier to appear as a benign process like ""explorer.exe""."				
"What MITRE ATT&CK Technique ID and name are associated with the Parent PID Spoofing tactic described in the text?,T1055.003 - Process Injection,T1136 - Create or Modify System Processes,T1055.001 - Parent PID Spoofing,T1055 - Process Injection,C,The text explicitly describes the technique as ""Parent PID Spoofing"", which is represented by the ID T1055.001."				
According to the provided text, how can Parent PID Spoofing be used to gain elevated privileges within the MITRE ATT&CK Enterprise framework?,By exploiting vulnerabilities in the CreateProcess API,By spawning a new process with a PPID that has elevated permissions,By using a privileged user context to spawn a new process with SYSTEM as the PPID,By using the UpdateProcThreadAttribute API to modify process creation attributes,C,The text mentions that an adversary can spawn a new process and assign a parent process running as SYSTEM, inheriting elevated privileges.				
Which of the following is NOT mentioned as a tool or framework that utilizes Parent PID Spoofing as a technique, based on the provided text?,DarkGate,Cobalt Strike,Metasploit,PipeMon,C,The text only mentions DarkGate, Cobalt Strike, and PipeMon as examples of frameworks that utilize Parent PID Spoofing.				
What API call is typically exploited by adversaries to perform Parent PID Spoofing, as discussed in the MITRE ATT&CK Enterprise context?,CreateProcessA,UpdateProcThreadAttribute,NtQuerySystemInformation,NtCreateProcess,A,The text specifically highlights the CreateProcessA API call as the primary means for manipulating the PPID.				
What process creation flag, in the context of the CreateProcess API, is an indicator of Parent PID Spoofing, according to the provided text, in the MITRE ATT&CK Enterprise framework?,0x8000,0x80000000,0x800000,0x8000000,C,The text indicates that the flag 0x800000 indicates extended startup information, which is associated with the use of Parent PID Spoofing.				
Which of the following is NOT a potential mitigation against Parent PID Spoofing, based on the text, within the MITRE ATT&CK Enterprise context?,Implementing application whitelisting policies,Monitoring API calls related to process creation,Analyzing event logs for unusual parent-child process relationships,Comparing process creation data across different sources,D,While other options are mentioned as mitigation strategies, application whitelisting is not directly mentioned in the text as a specific countermeasure against Parent PID Spoofing.				
According to the provided text, which data source provides the most reliable information about the actual parent process, in the context of MITRE ATT&CK Enterprise?,Windows event logs,Process Explorer,Task Manager,Event Tracing for Windows (ETW),D,The text explicitly mentions that the EventHeader ProcessId provided by ETW accurately identifies the real parent process.				
Which of the following is a potential red flag for Parent PID Spoofing detection, based on the text, within the MITRE ATT&CK Enterprise framework?,A process spawned from a known legitimate application with an unusual PPID,A process spawned from an unexpected location on the system,A process with a high memory footprint,A process that attempts to access network resources,A,The text specifically mentions detecting processes spawned from legitimate applications with unusual PPIDs as a potential indicator of Parent PID Spoofing.				
What is a possible limitation of using CreateProcess/CreateProcessA calls as an indicator of Parent PID Spoofing, according to the text, in the context of MITRE ATT&CK Enterprise?,These API calls can be used for legitimate system processes,They are not always used by attackers to perform Parent PID Spoofing,They are often difficult to monitor effectively,They may not provide enough information to identify the attacker,A,The text mentions that normal UAC elevation behavior may generate false positives, meaning the use of these API calls for legitimate purposes can lead to incorrect detection.				
What is the purpose of SID-History Injection in the context of MITRE ATT&CK Enterprise? ,To obtain sensitive information from target systems.,To bypass access controls and escalate privileges.,To remotely access target systems without authentication.,To disrupt network connectivity and cause denial of service.,B,SID-History Injection is used to bypass access controls and escalate privileges by manipulating the security identifier (SID) history of user accounts.,				
What is the technique ID for SID-History Injection in MITRE ATT&CK? ,T1078.005,T1135,T1087,T1098,A,The technique ID for SID-History Injection in MITRE ATT&CK is T1078.005.,				
Which of the following tools is mentioned as capable of adding a SID-History to a user account? ,Mimikatz,Empire,PowerShell,Netdom,B,Empire is mentioned as capable of adding a SID-History to a user account.,				
What is the recommended mitigation for SID-History Injection? ,Using strong passwords for user accounts.,Implementing multi-factor authentication.,Cleaning up SID-History attributes after legitimate account migration.,Enforcing least privilege access.,C,Cleaning up SID-History attributes after legitimate account migration is recommended as a mitigation for SID-History Injection.,				
Which of the following techniques can be used to detect SID-History Injection? ,Monitoring for changes to user account passwords.,Monitoring for changes to the time zone on domain controllers.,Monitoring for changes to the last logon time of user accounts.,Monitoring for changes to account management events on Domain Controllers.,D,Monitoring for changes to account management events on Domain Controllers is a technique to detect SID-History Injection.,				
Which of the following statements is true about SID Filtering? ,SID Filtering is enabled by default on all trusts.,SID Filtering is automatically applied to legacy trusts.,SID Filtering is not automatically applied to legacy trusts.,SID Filtering is not recommended for interforest trusts.,C,SID Filtering is not automatically applied to legacy trusts.,				
Which of the following PowerShell commands can be used to examine data in a user's SID-History attributes? ,Get-ADUser,Get-ADObject,Get-ADGroup,Get-ADGroupMember,A,Get-ADUser can be used to examine data in a user's SID-History attributes.,				
What is the recommended approach to address an untrustworthy domain within a forest? ,Disable the domain controller for the untrustworthy domain.,Apply SID Filtering to the domain trust within the forest.,Split the trusted and untrusted domains into separate forests.,Implement multi-factor authentication for users in the untrustworthy domain.,C,Splitting the trusted and untrusted domains into separate forests is the recommended approach to address an untrustworthy domain within a forest.,				
What is the primary purpose of applying SID Filtering to interforest trusts? ,To prevent the trusted domain from claiming a user has membership in groups outside of the domain.,To enforce password complexity requirements for users accessing the trusted domain.,To prevent unauthorized access to sensitive information within the trusted domain.,To enhance the performance of authentication requests between forests.,A,Applying SID Filtering to interforest trusts aims to prevent the trusted domain from claiming a user has membership in groups outside of the domain.,				
What is a common consequence of successful SID-History Injection? ,Compromised network connectivity.,Denial of service attacks.,Lateral movement to other systems.,User account lockout.,C,A successful SID-History Injection can lead to lateral movement to other systems.,				
What is the purpose of SID-History Injection in the context of MITRE ATT&CK Enterprise? ,To obtain sensitive information from target systems.,To bypass access controls and escalate privileges.,To remotely access target systems without authentication.,To disrupt network connectivity and cause denial of service.,B,SID-History Injection is used to bypass access controls and escalate privileges by manipulating the security identifier (SID) history of user accounts.,				
What is the technique ID for SID-History Injection in MITRE ATT&CK? ,T1078.005,T1135,T1087,T1098,A,The technique ID for SID-History Injection in MITRE ATT&CK is T1078.005.,				
Which of the following tools is mentioned as capable of adding a SID-History to a user account? ,Mimikatz,Empire,PowerShell,Netdom,B,Empire is mentioned as capable of adding a SID-History to a user account.,				
What is the recommended mitigation for SID-History Injection? ,Using strong passwords for user accounts.,Implementing multi-factor authentication.,Cleaning up SID-History attributes after legitimate account migration.,Enforcing least privilege access.,C,Cleaning up SID-History attributes after legitimate account migration is recommended as a mitigation for SID-History Injection.,				
Which of the following techniques can be used to detect SID-History Injection? ,Monitoring for changes to user account passwords.,Monitoring for changes to the time zone on domain controllers.,Monitoring for changes to the last logon time of user accounts.,Monitoring for changes to account management events on Domain Controllers.,D,Monitoring for changes to account management events on Domain Controllers is a technique to detect SID-History Injection.,				
Which of the following statements is true about SID Filtering? ,SID Filtering is enabled by default on all trusts.,SID Filtering is automatically applied to legacy trusts.,SID Filtering is not automatically applied to legacy trusts.,SID Filtering is not recommended for interforest trusts.,C,SID Filtering is not automatically applied to legacy trusts.,				
Which of the following PowerShell commands can be used to examine data in a user's SID-History attributes? ,Get-ADUser,Get-ADObject,Get-ADGroup,Get-ADGroupMember,A,Get-ADUser can be used to examine data in a user's SID-History attributes.,				
What is the recommended approach to address an untrustworthy domain within a forest? ,Disable the domain controller for the untrustworthy domain.,Apply SID Filtering to the domain trust within the forest.,Split the trusted and untrusted domains into separate forests.,Implement multi-factor authentication for users in the untrustworthy domain.,C,Splitting the trusted and untrusted domains into separate forests is the recommended approach to address an untrustworthy domain within a forest.,				
What is the primary purpose of applying SID Filtering to interforest trusts? ,To prevent the trusted domain from claiming a user has membership in groups outside of the domain.,To enforce password complexity requirements for users accessing the trusted domain.,To prevent unauthorized access to sensitive information within the trusted domain.,To enhance the performance of authentication requests between forests.,A,Applying SID Filtering to interforest trusts aims to prevent the trusted domain from claiming a user has membership in groups outside of the domain.,				
What is a common consequence of successful SID-History Injection? ,Compromised network connectivity.,Denial of service attacks.,Lateral movement to other systems.,User account lockout.,C,A successful SID-History Injection can lead to lateral movement to other systems.,				
What MITRE ATT&CK technique ID and name describes the adversary action of adding credentials to a cloud account to maintain persistent access?,T1552.001,T1083,T1552.003,T1552.002,A,This technique describes adding credentials to a cloud account to maintain persistent access, which aligns with the description provided.				
What is the primary reason for adversaries adding credentials for Service Principals and Applications in Azure AD?,To escalate privileges,To gain access to the Azure portal,To maintain persistence,To obfuscate their activities,C,The text explicitly states that adversaries add credentials to maintain persistent access to victim accounts and instances.				
What is the primary method adversaries use to generate or import their own SSH keys in AWS, according to the text?,AWS CLI,CreateKeyPair API,ImportKeyPair API,AWS Lambda function,C,The text mentions using the CreateKeyPair or ImportKeyPair API in AWS for generating or importing SSH keys.				
What technique ID and name describes the creation of temporary credentials in AWS using the sts:GetFederationToken API?,T1083,Credential Dumping,T1552.003,Forge Web Credentials,D,The text mentions using the sts:GetFederationToken API to create temporary credentials. This aligns with Forge Web Credentials (T1552.003).				
What is the key difference between the CreateAccessKey API in AWS and the sts:GetFederationToken API?,CreateAccessKey API grants permanent access, while sts:GetFederationToken API provides temporary access,CreateAccessKey API grants temporary access, while sts:GetFederationToken API provides permanent access,Both APIs provide permanent access,Both APIs provide temporary access,A,CreateAccessKey API grants permanent access, while sts:GetFederationToken API provides temporary access, as stated in the text.				
Which of the following is NOT a mitigation measure mentioned in the text?,Use multi-factor authentication,Enable logging and monitoring,Implement least privilege access control,Restrict access to critical systems,B,The text focuses on multi-factor authentication, access control, and limiting permissions, not explicitly mentioning logging and monitoring as a mitigation.				
What is the purpose of using the gcloud compute os-login ssh-keys add command in GCP?,To add a user to a GCP instance,To create a new SSH key,To import an existing SSH key,To manage access to GCP services,C,The text mentions using the gcloud compute os-login ssh-keys add command to import SSH keys.				
What MITRE ATT&CK technique ID and name describes the use of AWS_consoler to create temporary federated credentials?,T1083,Credential Dumping,T1552.003,Forge Web Credentials,D,The text mentions using AWS_consoler to create temporary federated credentials, which falls under Forge Web Credentials (T1552.003).				
Which of the following is an example of a detection mechanism mentioned in the text?,Monitoring changes in cloud user account permissions,Scanning for malware,Analyzing network traffic,Monitoring user login attempts,A,The text mentions monitoring changes in cloud user accounts, particularly regarding service principal and application modifications, as a detection method.				
What is the primary purpose of monitoring for the usage of the CreateAccessKey API in AWS?,To detect attempts to escalate privileges,To identify potential data exfiltration,To track user activity,To monitor for unauthorized access,A,Monitoring the CreateAccessKey API usage can help detect attempts to escalate privileges, as described in the text.				
What MITRE ATT&CK technique ID and name corresponds to the technique of granting additional email delegate permissions for persistent access to an adversary-controlled account?,T1134, Account Manipulation,T1135,  Access Token Manipulation,T1136,  Credentials from Password Stores,T1098,  Account Discovery,A,This technique falls under the umbrella of Account Manipulation (T1134) as it directly involves manipulating account privileges and permissions.				
"In the context of an adversary granting additional permissions to a compromised email account for persistent access, which MITRE ATT&CK technique is specifically relevant?,T1136,  Credentials from Password Stores,T1134, Account Manipulation,T1098,  Account Discovery,T1135, Access Token Manipulation,B,While the act of granting additional permissions to a compromised email account for persistent access is generally categorized under Account Manipulation (T1134), it doesn't specifically align with the other mentioned techniques. Techniques like ""Credentials from Password Stores"" (T1136), ""Access Token Manipulation"" (T1135), and ""Account Discovery"" (T1098) focus on different aspects of account compromise."				
"In the context of Office 365, what PowerShell cmdlet is used by adversaries to grant permissions to a mailbox?,,Set-Mailbox,Add-MailboxPermission,Get-MailboxPermission,Remove-MailboxPermission,B,The document specifically mentions the ""Add-MailboxPermission"" PowerShell cmdlet for granting permissions to mailboxes in both on-premises Exchange and Office 365."				
Which of the following examples is NOT cited as an instance of an adversary using Additional Email Delegate Permissions?,,APT28 granting ApplicationImpersonation role to a compromised account,APT29 using a compromised global administrator account to backdoor a service principal,APT29 using compromised accounts holding ApplicationImpersonation rights in Exchange to collect emails,Magic Hound granting read access to email boxes of additional targeted accounts,B,The document explicitly mentions the use of a compromised global administrator account to backdoor a service principal for collecting emails. However, it doesn't specify any instances of adversaries using compromised accounts to directly backdoor service principals for the purpose of granting additional email delegate permissions.				
"What type of permission does Magic Hound grant to compromised email accounts in order to access additional targeted accounts?,Full control,Read access,Write access,Send as,B,The document states that Magic Hound grants compromised email accounts ""read access"" to the email boxes of additional targeted accounts, enabling them to authenticate to the intended victim's OWA portal and read email communications."				
"In the context of the SolarWinds Compromise, what permissions did APT29 add to compromised Application or Service Principals?,Mail.Send,Mail.ReadWrite,Mail.Read,All of the above,D,The document mentions APT29 adding ""Mail.Read"" and ""Mail.ReadWrite"" permissions to compromised Application or Service Principals during the SolarWinds Compromise. This indicates the inclusion of both read and write access permissions to email content."				
Which of the following is NOT a mitigation against Additional Email Delegate Permissions?,,Disable email delegation if not required,Use multi-factor authentication for user and privileged accounts,Use strong passwords for all accounts,Do not allow domain administrator accounts for day-to-day operations,C,The document highlights disabling email delegation, implementing multi-factor authentication, and restricting domain administrator account usage as mitigations.  However, strong password policy, while important, is not specifically mentioned in the context of this technique.				
Which of the following is NOT a detection method for Additional Email Delegate Permissions?,,Monitor for unusual Exchange and Office 365 email account permissions changes,Enable the UpdateFolderPermissions action for all logon types,Create rules to alert on ModifyFolderPermissions operations,Observe the user's browsing history for suspicious activity,D,The document mentions enabling the UpdateFolderPermissions action, creating rules for ModifyFolderPermissions alerts, and monitoring for unusual permission changes. However, it doesn't specifically mention using browsing history for detecting this technique.				
Which of the following is an indicator of potential account compromise related to Additional Email Delegate Permissions?,,A large volume of emails sent from an account,Similar phishing emails sent from real accounts within a network,A sudden increase in the number of login attempts,A large number of outgoing emails to international destinations,A and B,E,The document highlights two potential indicators: a large volume of emails sent from an account and similar phishing emails sent from real accounts, both suggesting possible account compromise and abuse of modified email permissions.				
What is the primary goal of adversaries employing the Additional Email Delegate Permissions technique within the context of BEC (Business Email Compromise)?,,Gain access to sensitive data,Establish persistent access to the compromised account,Disrupt business operations,Evade spam/phishing detection mechanisms,D,The document mentions adversaries using compromised business accounts to send messages that evade spam/phishing detection mechanisms. This aligns with the goal of using the technique for BEC purposes.				
"What MITRE ATT&CK technique ID and name describe the act of adding additional roles or permissions to an adversary-controlled cloud account to maintain persistent access to a tenant?,T1098, Account Manipulation,T1098.002, Account Manipulation: Additional Cloud Roles,T1078,  Privilege Escalation,T1135,  Control Account,T1098.002, Account Manipulation: Additional Cloud Roles,The text explicitly states that adding roles or permissions to an adversary-controlled cloud account falls under the MITRE ATT&CK technique ""T1098.002 Account Manipulation: Additional Cloud Roles"", which is a sub-technique of ""T1098 Account Manipulation""."				
"Which of the following scenarios is NOT an example of the technique ""T1098.002 Account Manipulation: Additional Cloud Roles"" as described in the text?,An adversary uses a phishing email to trick a user into revealing their credentials and then logs into their account.,An adversary creates a new account with elevated permissions in the victim's cloud environment.,An adversary adds a new administrator role to an existing account they have compromised, granting them more access.,An adversary modifies an existing IAM policy to give themselves more permissions in the victim's cloud environment.,A,The text describes adding roles or permissions to compromised accounts or creating new accounts with elevated permissions. Phishing is a separate technique for gaining initial access, not for modifying account permissions."				
