URL,Description,Base Score,Vector,Prompt
https://nvd.nist.gov/vuln/detail/CVE-2024-20011,"In alac decoder, there is a possible information disclosure due to an incorrect bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08441146; Issue ID: ALPS08441146.",9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In alac decoder, there is a possible information disclosure due to an incorrect bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08441146; Issue ID: ALPS08441146.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20012,"In keyInstall, there is a possible escalation of privilege due to type confusion. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08358566; Issue ID: ALPS08358566.",6.7 MEDIUM,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In keyInstall, there is a possible escalation of privilege due to type confusion. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08358566; Issue ID: ALPS08358566.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20013,"In keyInstall, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08471742; Issue ID: ALPS08308608.",6.7 MEDIUM,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In keyInstall, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08471742; Issue ID: ALPS08308608.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20014,No description found,No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        No description found
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20015,"In telephony, there is a possible escalation of privilege due to a permissions bypass. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08441419; Issue ID: ALPS08441419.",7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In telephony, there is a possible escalation of privilege due to a permissions bypass. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08441419; Issue ID: ALPS08441419.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20016,"In ged, there is a possible out of bounds write due to an integer overflow. This could lead to local denial of service with System execution privileges needed. User interaction is not needed for exploitation Patch ID: ALPS07835901; Issue ID: ALPS07835901.",4.4 MEDIUM,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In ged, there is a possible out of bounds write due to an integer overflow. This could lead to local denial of service with System execution privileges needed. User interaction is not needed for exploitation Patch ID: ALPS07835901; Issue ID: ALPS07835901.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20017,"In wlan service, there is a possible out of bounds write due to improper input validation. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation Patch ID: WCNCR00350938; Issue ID: MSV-1132.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In wlan service, there is a possible out of bounds write due to improper input validation. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation Patch ID: WCNCR00350938; Issue ID: MSV-1132.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20018,"In wlan driver, there is a possible out of bounds write due to improper input validation. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: WCNCR00348479; Issue ID: MSV-1019.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In wlan driver, there is a possible out of bounds write due to improper input validation. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: WCNCR00348479; Issue ID: MSV-1019.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20019,"In wlan driver, there is a possible memory leak due to improper input handling. This could lead to remote denial of service with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: WCNCR00351241; Issue ID: MSV-1173.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In wlan driver, there is a possible memory leak due to improper input handling. This could lead to remote denial of service with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: WCNCR00351241; Issue ID: MSV-1173.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20020,"In OPTEE, there is a possible out of bounds write due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08522504; Issue ID: ALPS08522504.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In OPTEE, there is a possible out of bounds write due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08522504; Issue ID: ALPS08522504.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20021,"In atf spm, there is a possible way to remap physical memory to virtual memory due to a logic error. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08584568; Issue ID: MSV-1249.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In atf spm, there is a possible way to remap physical memory to virtual memory due to a logic error. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08584568; Issue ID: MSV-1249.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20022,"In lk, there is a possible escalation of privilege due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08528255; Issue ID: ALPS08528255.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In lk, there is a possible escalation of privilege due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08528255; Issue ID: ALPS08528255.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20023,"In flashc, there is a possible out of bounds write due to lack of valudation. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541638; Issue ID: ALPS08541638.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In flashc, there is a possible out of bounds write due to lack of valudation. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541638; Issue ID: ALPS08541638.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20024,"In flashc, there is a possible out of bounds write due to lack of valudation. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541635; Issue ID: ALPS08541635.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In flashc, there is a possible out of bounds write due to lack of valudation. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541635; Issue ID: ALPS08541635.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20025,"In da, there is a possible out of bounds write due to an integer overflow. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541686; Issue ID: ALPS08541686.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In da, there is a possible out of bounds write due to an integer overflow. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541686; Issue ID: ALPS08541686.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20026,"In da, there is a possible information disclosure due to improper input validation. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541632; Issue ID: ALPS08541632.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In da, there is a possible information disclosure due to improper input validation. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541632; Issue ID: ALPS08541632.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20027,"In da, there is a possible out of bounds write due to improper input validation. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541632; Issue ID: ALPS08541633.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In da, there is a possible out of bounds write due to improper input validation. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541632; Issue ID: ALPS08541633.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20028,"In da, there is a possible out of bounds write due to lack of valudation. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541632; Issue ID: ALPS08541687.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In da, there is a possible out of bounds write due to lack of valudation. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541632; Issue ID: ALPS08541687.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20029,"In wlan firmware, there is a possible out of bounds write due to improper input validation. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08477406; Issue ID: MSV-1010.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In wlan firmware, there is a possible out of bounds write due to improper input validation. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08477406; Issue ID: MSV-1010.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20030,"In da, there is a possible information disclosure due to improper input validation. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541632; Issue ID: ALPS08541741.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In da, there is a possible information disclosure due to improper input validation. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541632; Issue ID: ALPS08541741.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20031,"In da, there is a possible out of bounds write due to lack of valudation. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541632; Issue ID: ALPS08541742.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In da, there is a possible out of bounds write due to lack of valudation. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541632; Issue ID: ALPS08541742.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20032,"In aee, there is a possible permission bypass due to a missing permission check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08487630; Issue ID: MSV-1020.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In aee, there is a possible permission bypass due to a missing permission check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08487630; Issue ID: MSV-1020.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20033,"In nvram, there is a possible information disclosure due to a missing bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08499945; Issue ID: ALPS08499945.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In nvram, there is a possible information disclosure due to a missing bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08499945; Issue ID: ALPS08499945.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20034,"In battery, there is a possible escalation of privilege due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08488849; Issue ID: ALPS08488849.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In battery, there is a possible escalation of privilege due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08488849; Issue ID: ALPS08488849.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20035,No description found,No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        No description found
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20036,"In vdec, there is a possible permission bypass due to a permissions bypass. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08509508; Issue ID: ALPS08509508.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In vdec, there is a possible permission bypass due to a permissions bypass. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08509508; Issue ID: ALPS08509508.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20037,"In pq, there is a possible write-what-where condition due to an incorrect bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08495937; Issue ID: ALPS08495937.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In pq, there is a possible write-what-where condition due to an incorrect bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08495937; Issue ID: ALPS08495937.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20038,"In pq, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08495932; Issue ID: ALPS08495932.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In pq, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08495932; Issue ID: ALPS08495932.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20039,"In modem protocol, there is a possible out of bounds write due to a missing bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: MOLY01240012; Issue ID: MSV-1215.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In modem protocol, there is a possible out of bounds write due to a missing bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: MOLY01240012; Issue ID: MSV-1215.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20040,"In wlan firmware, there is a possible out of bounds write due to improper input validation. This could lead to remote escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08360153 (for MT6XXX chipsets) / WCNCR00363530 (for MT79XX chipsets); Issue ID: MSV-979.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In wlan firmware, there is a possible out of bounds write due to improper input validation. This could lead to remote escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08360153 (for MT6XXX chipsets) / WCNCR00363530 (for MT79XX chipsets); Issue ID: MSV-979.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20041,"In da, there is a possible out of bounds read due to a missing bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541746; Issue ID: ALPS08541746.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In da, there is a possible out of bounds read due to a missing bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541746; Issue ID: ALPS08541746.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20042,"In da, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541780; Issue ID: ALPS08541780.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In da, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541780; Issue ID: ALPS08541780.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20043,"In da, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541781; Issue ID: ALPS08541781.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In da, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541781; Issue ID: ALPS08541781.
        "
https://nvd.nist.gov/vuln/detail/CVE-2024-20044,"In da, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541784; Issue ID: ALPS08541784.",No base score found,No vector found,"
        You are a cybersecurity expert. Given the following vulnerability description, identify the appropriate CVSS score and vector.
        Return only the base score and vector. If multiple vectors apply, provide the most relevant one.

        Description:
        In da, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08541784; Issue ID: ALPS08541784.
        "
